epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.06159,1.07651,0.68269,1,0.88397,0.00017148,0.00017148,0.00017148
2,6.91688,0.74239,0.79808,1,0.4728,0.000352829,0.000352829,0.000352829
3,8.48345,0.3258,0.97115,1,0.07503,0.00052958,0.00052958,0.00052958
4,9.95653,0.19115,0.98077,1,0.07303,0.000701734,0.000701734,0.000701734
5,11.5498,0.17701,0.97115,1,0.04199,0.000869289,0.000869289,0.000869289
6,12.9778,0.14605,0.98077,1,0.08849,0.00103225,0.00103225,0.00103225
7,14.5561,0.17258,0.99038,1,0.06449,0.00119061,0.00119061,0.00119061
8,16.1541,0.13675,1,1,0.00861,0.00130521,0.00130521,0.00130521
9,17.7065,0.16,0.80769,1,0.55614,0.00128753,0.00128753,0.00128753
10,19.2924,0.24344,0.97115,1,0.05521,0.00126985,0.00126985,0.00126985
11,20.744,0.20136,0.89423,1,0.29095,0.00125216,0.00125216,0.00125216
12,22.2714,0.18645,0.98077,1,0.04202,0.00123448,0.00123448,0.00123448
13,23.8554,0.1675,0.96154,1,0.11525,0.00121679,0.00121679,0.00121679
14,25.3617,0.16886,0.94231,1,0.07136,0.00119911,0.00119911,0.00119911
15,27.0052,0.17058,0.98077,1,0.03557,0.00118143,0.00118143,0.00118143
16,28.5368,0.19252,0.96154,1,0.12876,0.00116374,0.00116374,0.00116374
17,30.1303,0.17313,0.99038,1,0.01952,0.00114606,0.00114606,0.00114606
18,31.6081,0.13415,0.99038,1,0.01331,0.00112837,0.00112837,0.00112837
19,33.2503,0.11179,0.96154,1,0.06588,0.00111069,0.00111069,0.00111069
20,34.7327,0.15939,0.95192,1,0.05957,0.00109301,0.00109301,0.00109301
