split,class,class_id,source,image,label,x1,y1,x2,y2,width,height,area_ratio,label_method
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000206.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000206.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000206.txt,0,0,45,153,250,250,0.113344,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000037.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000037.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000037.txt,79,2,234,157,250,250,0.389376,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000016.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000016.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000016.txt,84,85,174,150,250,250,0.096096,fallback_median
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000169.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000169.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000169.txt,120,49,179,144,250,250,0.09216,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000014.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000014.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000014.txt,119,100,134,107,250,250,0.002048,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000234.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000234.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000234.txt,89,96,99,104,250,250,0.001584,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000173.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000173.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000173.txt,118,49,176,144,250,250,0.090624,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000166.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000166.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000166.txt,0,117,131,244,250,250,0.270336,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000147.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000147.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000147.txt,0,113,174,188,250,250,0.2128,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000020.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000020.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000020.txt,121,97,145,120,250,250,0.0096,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000146.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000146.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000146.txt,0,113,173,188,250,250,0.211584,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000058.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000058.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000058.txt,84,85,174,150,250,250,0.096096,fallback_median
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000026.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000026.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000026.txt,110,65,184,138,250,250,0.0888,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000003.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000003.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000003.txt,84,85,174,150,250,250,0.096096,fallback_median
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000158.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000158.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000158.txt,0,43,229,222,250,250,0.6624,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000178.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000178.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000178.txt,122,37,199,148,250,250,0.139776,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000231.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000231.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000231.txt,84,85,174,150,250,250,0.096096,fallback_median
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000235.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000235.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000235.txt,84,85,97,98,250,250,0.003136,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000245.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000245.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000245.txt,28,85,41,97,250,250,0.002912,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000070.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000070.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000070.txt,141,96,166,123,250,250,0.011648,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000181.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000181.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000181.txt,122,37,199,148,250,250,0.139776,detected
val,left-arrow,0,/kaggle/input/datasets/jeffreyamc/yolo-signals-input/left-arrow/frame_000200.jpg,/kaggle/temp/yolo_signals_det/images/val/left-arrow_frame_000200.jpg,/kaggle/temp/yolo_signals_det/labels/val/left-arrow_frame_000200.txt,83,95,95,103,250,250,0.001872,detected
