epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3713,1.6442,8.84285,0.02422,0.00215,0.53993,0.02271,0.01624,1.40803,13.4057,0.02638,0.00035725,0.00035725,0.00035725
2,29.7189,1.38211,7.47167,0.01895,0.00188,0.52186,0.06296,0.03535,1.33534,13.0122,0.02423,0.000719771,0.000719771,0.000719771
3,35.8837,1.28144,7.03884,0.01835,0.50209,0.13008,0.12494,0.08835,1.44368,12.1618,0.02833,0.0010731,0.0010731,0.0010731
4,41.9253,1.31618,6.31142,0.01941,0.54584,0.11941,0.22917,0.13061,1.51523,10.6306,0.02794,0.00137595,0.00137595,0.00137595
5,47.9656,1.32975,5.569,0.01885,0.53223,0.19941,0.22573,0.14353,1.53985,9.3862,0.02863,0.00135826,0.00135826,0.00135826
6,54.1622,1.35264,4.94379,0.01898,0.48059,0.22076,0.21034,0.15194,1.49287,7.82737,0.03135,0.00134058,0.00134058,0.00134058
7,60.1727,1.32047,4.26692,0.01908,0.42518,0.2908,0.2798,0.1757,1.33245,6.57417,0.02576,0.0013229,0.0013229,0.0013229
8,66.364,1.34943,4.07279,0.01825,0.24107,0.22137,0.17542,0.10608,1.26079,5.82698,0.02382,0.00130521,0.00130521,0.00130521
9,72.361,1.32552,3.6691,0.01866,0.26991,0.35415,0.27707,0.17679,1.38747,5.2746,0.02764,0.00128753,0.00128753,0.00128753
10,78.5294,1.24757,3.39931,0.0171,0.38676,0.45116,0.37701,0.25307,1.41816,4.84449,0.02732,0.00126985,0.00126985,0.00126985
11,84.6097,1.17262,3.08839,0.01587,0.70333,0.24835,0.30986,0.2427,1.13255,4.34447,0.02014,0.00125216,0.00125216,0.00125216
12,90.7813,1.21431,3.0042,0.01765,0.44173,0.34884,0.39251,0.26708,1.29014,3.90914,0.02516,0.00123448,0.00123448,0.00123448
13,97.0442,1.16753,2.74194,0.01621,0.44721,0.42357,0.40225,0.29184,1.3253,3.58634,0.02398,0.00121679,0.00121679,0.00121679
14,103.242,1.17281,2.54814,0.01653,0.57613,0.31857,0.40521,0.29035,1.23114,3.44977,0.0224,0.00119911,0.00119911,0.00119911
15,109.449,1.1363,2.34159,0.01521,0.50227,0.48877,0.45905,0.34962,1.24728,2.82775,0.02317,0.00118143,0.00118143,0.00118143
16,115.824,1.11613,2.30983,0.01492,0.63064,0.42222,0.53737,0.40163,1.07293,2.46381,0.01967,0.00116374,0.00116374,0.00116374
17,122.071,1.08979,2.11909,0.01562,0.59806,0.39934,0.44639,0.32931,1.21069,2.76046,0.02266,0.00114606,0.00114606,0.00114606
18,128.382,1.09847,2.10896,0.01522,0.65579,0.4894,0.51095,0.39283,1.06735,2.67655,0.01833,0.00112837,0.00112837,0.00112837
19,134.655,1.048,2.00943,0.01437,0.61017,0.46789,0.50218,0.37835,1.18204,2.40126,0.02224,0.00111069,0.00111069,0.00111069
20,140.883,1.11784,2.0797,0.01608,0.48645,0.46591,0.46769,0.34004,1.18144,2.42874,0.02094,0.00109301,0.00109301,0.00109301
21,147.123,1.01337,1.88006,0.01397,0.50367,0.48674,0.48269,0.36138,1.14152,2.19329,0.02007,0.00107532,0.00107532,0.00107532
22,153.31,1.01288,1.80036,0.01358,0.57353,0.4602,0.49866,0.36626,1.12569,1.96423,0.02054,0.00105764,0.00105764,0.00105764
23,159.353,1.01393,1.70189,0.01406,0.58692,0.47143,0.48623,0.37741,1.15451,2.29908,0.02251,0.00103995,0.00103995,0.00103995
24,165.567,0.98805,1.66956,0.01338,0.50359,0.45026,0.50258,0.38103,1.07669,2.24586,0.01903,0.00102227,0.00102227,0.00102227
25,171.667,1.00065,1.65469,0.01377,0.62802,0.46088,0.57188,0.42969,1.14979,1.92829,0.02119,0.00100459,0.00100459,0.00100459
26,177.878,0.99659,1.61848,0.01316,0.71817,0.4177,0.58654,0.4697,0.95132,1.7552,0.01788,0.000986903,0.000986903,0.000986903
27,184.008,0.97571,1.57545,0.0123,0.72421,0.50049,0.6087,0.50034,0.95438,1.61196,0.01699,0.000969219,0.000969219,0.000969219
28,190.254,0.98784,1.49723,0.01352,0.61104,0.53383,0.62808,0.47257,1.04655,1.68381,0.01935,0.000951535,0.000951535,0.000951535
