epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4697,0.83934,8.11223,0.00742,0.00447,1,0.21844,0.14174,0.97292,12.1301,0.0098,0.00030009,0.00030009,0.00030009
2,40.2196,0.85724,7.07865,0.00707,0.00395,1,0.46429,0.36453,0.65802,11.1274,0.00664,0.000606866,0.000606866,0.000606866
3,45.7978,0.84779,6.03745,0.00708,0.00438,1,0.63889,0.49325,0.73167,10.6605,0.00744,0.000905861,0.000905861,0.000905861
4,51.2657,0.91261,5.48608,0.00775,0.83534,0.25763,0.43325,0.30174,0.92351,10.0722,0.01066,0.00119708,0.00119708,0.00119708
5,56.7922,0.98364,5.01784,0.00826,0.60881,0.42692,0.65587,0.5153,0.88601,8.61315,0.01016,0.00135826,0.00135826,0.00135826
6,62.4523,0.88287,4.54947,0.00749,0.69938,0.82083,0.84395,0.63711,1.03868,6.97157,0.01191,0.00134058,0.00134058,0.00134058
7,67.9673,0.93364,3.97515,0.00759,0.81255,0.6665,0.83942,0.65135,0.96218,6.0443,0.01113,0.0013229,0.0013229,0.0013229
8,73.6204,0.88047,3.53187,0.00713,0.77941,0.81622,0.88974,0.71665,0.83728,5.1124,0.00905,0.00130521,0.00130521,0.00130521
9,79.2384,0.85487,3.0081,0.00712,0.72331,0.89491,0.9147,0.74546,0.77163,4.36116,0.00834,0.00128753,0.00128753,0.00128753
10,84.9921,0.90981,2.63306,0.00751,0.80296,0.82069,0.93415,0.74466,0.83969,3.90091,0.00928,0.00126985,0.00126985,0.00126985
11,90.5523,0.8426,2.38744,0.00704,0.74624,0.94699,0.91519,0.71081,0.90364,3.46481,0.00945,0.00125216,0.00125216,0.00125216
12,96.3034,0.92468,2.27746,0.00783,0.76316,0.85293,0.92429,0.73217,0.85426,3.11434,0.0099,0.00123448,0.00123448,0.00123448
13,101.964,0.88519,2.09511,0.00804,0.85294,0.88116,0.94994,0.78318,0.7985,2.64431,0.00911,0.00121679,0.00121679,0.00121679
14,107.599,0.84432,1.75941,0.00722,0.84802,0.87918,0.9378,0.76247,0.76435,2.31658,0.00872,0.00119911,0.00119911,0.00119911
15,113.269,0.90274,1.6391,0.00724,0.91833,0.90695,0.96954,0.7971,0.74545,2.10671,0.00777,0.00118143,0.00118143,0.00118143
16,118.909,0.83068,1.55834,0.00724,0.88853,0.91889,0.96729,0.77285,0.80953,2.00496,0.00837,0.00116374,0.00116374,0.00116374
17,124.511,0.88175,1.42575,0.00716,0.95145,0.90106,0.97793,0.8035,0.76956,1.73699,0.00853,0.00114606,0.00114606,0.00114606
18,130.183,0.85058,1.35246,0.00691,0.93579,0.85333,0.9719,0.79143,0.78962,1.57326,0.00979,0.00112837,0.00112837,0.00112837
19,135.69,0.81411,1.17593,0.00695,0.88305,0.95868,0.98163,0.8168,0.73479,1.40495,0.00775,0.00111069,0.00111069,0.00111069
20,141.347,0.77126,1.11545,0.00655,0.95308,0.89341,0.97678,0.80788,0.78122,1.28055,0.00894,0.00109301,0.00109301,0.00109301
21,146.946,0.82283,1.07567,0.00656,0.94176,0.92181,0.9855,0.83932,0.72165,1.14464,0.00764,0.00107532,0.00107532,0.00107532
22,152.622,0.82868,1.02056,0.00686,0.94949,0.89807,0.97932,0.81058,0.7473,1.11795,0.00818,0.00105764,0.00105764,0.00105764
23,158.2,0.84827,0.97426,0.00702,0.90106,0.93354,0.97954,0.80385,0.7763,1.0411,0.00845,0.00103995,0.00103995,0.00103995
24,163.885,0.81997,0.90642,0.00671,0.86531,0.95364,0.9751,0.79912,0.77831,0.96838,0.00874,0.00102227,0.00102227,0.00102227
25,169.445,0.83246,0.88409,0.00686,0.94662,0.9206,0.9782,0.82222,0.72833,0.87778,0.00766,0.00100459,0.00100459,0.00100459
26,175.041,0.81501,0.87361,0.00648,0.94581,0.93548,0.98532,0.83766,0.68829,0.8072,0.0072,0.000986903,0.000986903,0.000986903
27,180.564,0.74416,0.75968,0.00597,0.96447,0.86608,0.97173,0.8117,0.73324,0.81257,0.00773,0.000969219,0.000969219,0.000969219
28,186.046,0.79672,0.78931,0.00603,0.9221,0.90165,0.97617,0.82347,0.69924,0.78899,0.00704,0.000951535,0.000951535,0.000951535
29,191.597,0.80473,0.74843,0.00671,0.87926,0.94529,0.9762,0.80368,0.75886,0.77713,0.00787,0.000933851,0.000933851,0.000933851
30,197.151,0.75973,0.66111,0.00586,0.96259,0.92163,0.96975,0.81037,0.72475,0.76269,0.00793,0.000916168,0.000916168,0.000916168
31,202.656,0.77589,0.68448,0.00636,0.90681,0.92942,0.97595,0.81754,0.72016,0.72468,0.00754,0.000898484,0.000898484,0.000898484
32,208.312,0.74372,0.66667,0.00617,0.94126,0.90577,0.98191,0.82626,0.68828,0.6766,0.00759,0.0008808,0.0008808,0.0008808
33,213.798,0.76165,0.65481,0.00613,0.94885,0.94888,0.98591,0.83047,0.7122,0.6042,0.00788,0.000863116,0.000863116,0.000863116
