epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.698,0.92275,8.90055,0.0103,0.02037,0.99107,0.19785,0.15512,0.59593,11.8046,0.00593,0.000275,0.000275,0.000275
2,37.4391,0.85512,7.76358,0.00961,0.00681,1,0.34774,0.27874,0.70269,11.2422,0.0077,0.000557859,0.000557859,0.000557859
3,42.9244,0.92851,7.18394,0.00947,0.00432,1,0.62287,0.49387,0.77053,11.0044,0.00814,0.000835975,0.000835975,0.000835975
4,48.3779,0.91435,6.15045,0.00911,0.8478,0.34602,0.811,0.5566,1.08241,10.2255,0.0125,0.00110935,0.00110935,0.00110935
5,53.8011,1.04746,5.78556,0.01164,0.6918,0.5858,0.82229,0.60283,0.93192,8.92662,0.01181,0.00120875,0.00120875,0.00120875
6,59.2278,0.97435,5.30239,0.01005,0.72472,0.7695,0.85424,0.62937,1.09581,7.63078,0.01344,0.00119844,0.00119844,0.00119844
7,64.6009,0.95605,4.51971,0.00979,0.83992,0.73255,0.90512,0.63992,1.12419,6.65734,0.01345,0.00118812,0.00118812,0.00118812
8,70.036,1.00311,4.23707,0.0102,0.77962,0.87125,0.94956,0.71078,1.0381,5.69251,0.01269,0.00117781,0.00117781,0.00117781
9,75.4948,0.90072,3.70646,0.00963,0.84396,0.77716,0.88238,0.6633,1.0423,4.95131,0.01327,0.0011675,0.0011675,0.0011675
10,80.9605,0.91985,3.14947,0.00948,0.68037,0.95136,0.94867,0.70716,1.0818,4.21245,0.01374,0.00115719,0.00115719,0.00115719
11,86.4269,0.97389,3.08659,0.00997,0.79506,0.87022,0.95075,0.69478,1.07255,3.85081,0.01347,0.00114688,0.00114688,0.00114688
12,91.8708,0.96454,2.77914,0.01085,0.85631,0.94133,0.95697,0.71964,0.95669,3.27675,0.0115,0.00113656,0.00113656,0.00113656
13,97.3596,0.94915,2.31306,0.00969,0.90107,0.7905,0.95455,0.75489,0.91391,2.91325,0.01201,0.00112625,0.00112625,0.00112625
14,102.872,0.95528,2.30812,0.00996,0.93514,0.91162,0.9825,0.76053,0.93845,2.53155,0.01151,0.00111594,0.00111594,0.00111594
15,108.339,0.90975,2.0062,0.00937,0.91731,0.87919,0.97781,0.75668,0.9236,2.26187,0.01163,0.00110563,0.00110563,0.00110563
16,113.807,0.89027,1.88125,0.00943,0.94825,0.92572,0.98257,0.70443,1.05951,2.08841,0.01424,0.00109531,0.00109531,0.00109531
17,119.237,0.89863,1.69917,0.00954,0.94142,0.91594,0.97892,0.76243,0.9944,1.86821,0.01148,0.001085,0.001085,0.001085
18,124.749,0.90105,1.57229,0.0093,0.87872,0.89788,0.96271,0.77788,0.87836,1.7532,0.01013,0.00107469,0.00107469,0.00107469
19,130.29,0.94065,1.48948,0.00971,0.84108,0.96814,0.97502,0.78177,0.85318,1.52072,0.01015,0.00106437,0.00106437,0.00106437
20,135.891,0.84189,1.31553,0.00866,0.95205,0.92591,0.9894,0.78541,0.83443,1.39843,0.01009,0.00105406,0.00105406,0.00105406
21,141.439,0.9222,1.26936,0.00946,0.87196,0.90544,0.97109,0.7709,0.86729,1.35008,0.01011,0.00104375,0.00104375,0.00104375
22,147.088,0.86578,1.20481,0.00919,0.90675,0.9557,0.98422,0.74636,0.9462,1.1976,0.0117,0.00103344,0.00103344,0.00103344
23,152.664,0.87115,1.09579,0.00887,0.97218,0.88031,0.97875,0.77897,0.78013,1.12149,0.00938,0.00102312,0.00102312,0.00102312
24,158.152,0.85984,1.0769,0.00939,0.91142,0.96266,0.99055,0.80088,0.77362,1.00013,0.00929,0.00101281,0.00101281,0.00101281
25,163.741,0.85472,1.01392,0.00824,0.9407,0.94634,0.98785,0.787,0.84525,1.01774,0.00999,0.0010025,0.0010025,0.0010025
26,169.328,0.851,0.94428,0.00836,0.94458,0.93473,0.98967,0.81832,0.79146,0.90945,0.00917,0.000992188,0.000992188,0.000992188
27,174.996,0.83953,0.93821,0.00902,0.89513,0.9337,0.98372,0.8111,0.78887,0.91462,0.00863,0.000981875,0.000981875,0.000981875
28,180.523,0.82999,0.84929,0.00882,0.97688,0.87911,0.97629,0.79299,0.76581,0.8784,0.00859,0.000971562,0.000971562,0.000971562
29,186.003,0.8363,0.86047,0.0086,0.95243,0.91754,0.98565,0.76738,0.90568,0.85953,0.01078,0.00096125,0.00096125,0.00096125
30,191.526,0.85184,0.80959,0.00858,0.94289,0.93452,0.98576,0.77559,0.86199,0.79205,0.01025,0.000950937,0.000950937,0.000950937
31,197.086,0.81328,0.75701,0.00825,0.97011,0.95867,0.99228,0.8159,0.73453,0.69328,0.00822,0.000940625,0.000940625,0.000940625
32,202.602,0.79009,0.78594,0.0084,0.88957,0.9698,0.98855,0.79931,0.80714,0.72275,0.00965,0.000930313,0.000930313,0.000930313
33,208.099,0.84923,0.75066,0.00933,0.96766,0.92685,0.98877,0.82894,0.74637,0.67115,0.00851,0.00092,0.00092,0.00092
34,213.697,0.80529,0.75441,0.0086,0.92139,0.97345,0.99082,0.83041,0.75376,0.62308,0.00921,0.000909688,0.000909688,0.000909688
35,219.284,0.78495,0.69291,0.00789,0.98939,0.93891,0.98974,0.83928,0.71843,0.6216,0.00816,0.000899375,0.000899375,0.000899375
36,224.854,0.80631,0.67039,0.00803,0.95877,0.91644,0.98795,0.78436,0.79606,0.61613,0.00995,0.000889062,0.000889062,0.000889062
37,230.389,0.83279,0.68819,0.00913,0.9821,0.90377,0.9882,0.80864,0.76226,0.59834,0.00897,0.00087875,0.00087875,0.00087875
38,235.936,0.79288,0.65367,0.00869,0.98096,0.97796,0.99107,0.8355,0.68253,0.52302,0.00777,0.000868437,0.000868437,0.000868437
39,241.483,0.84327,0.61017,0.00867,0.94669,0.9599,0.98687,0.79441,0.80258,0.5788,0.00988,0.000858125,0.000858125,0.000858125
40,247.047,0.81084,0.59337,0.00821,0.97283,0.94018,0.99093,0.80687,0.75033,0.54965,0.008,0.000847813,0.000847813,0.000847813
41,252.621,0.80943,0.59359,0.00845,0.9763,0.96699,0.99274,0.80067,0.79969,0.50409,0.00939,0.0008375,0.0008375,0.0008375
42,258.14,0.7962,0.6198,0.00833,0.95383,0.95572,0.99194,0.83042,0.74361,0.49705,0.00822,0.000827187,0.000827187,0.000827187
43,263.662,0.76447,0.58855,0.00778,0.97694,0.96543,0.99329,0.82807,0.71663,0.45949,0.00793,0.000816875,0.000816875,0.000816875
44,269.205,0.80692,0.55871,0.00781,0.95941,0.93021,0.98849,0.82219,0.76979,0.49431,0.00868,0.000806562,0.000806562,0.000806562
45,274.762,0.78985,0.58314,0.00795,0.94542,0.96591,0.99217,0.82004,0.71541,0.45229,0.00787,0.00079625,0.00079625,0.00079625
46,280.317,0.7972,0.60026,0.00816,0.96013,0.96965,0.99345,0.79976,0.75477,0.44467,0.00861,0.000785938,0.000785938,0.000785938
47,285.84,0.77289,0.57323,0.00784,0.96361,0.97831,0.99382,0.82098,0.72689,0.40589,0.00781,0.000775625,0.000775625,0.000775625
48,291.298,0.76485,0.57672,0.00761,0.98106,0.9549,0.99266,0.79581,0.80931,0.42495,0.00976,0.000765313,0.000765313,0.000765313
49,296.794,0.7579,0.57165,0.00758,0.96793,0.9922,0.995,0.81782,0.76912,0.38591,0.00913,0.000755,0.000755,0.000755
50,302.403,0.77313,0.52515,0.00772,0.92481,0.99706,0.98963,0.811,0.77659,0.43972,0.00832,0.000744688,0.000744688,0.000744688
51,307.906,0.72347,0.48686,0.00727,0.88302,0.97385,0.99006,0.82852,0.69756,0.43637,0.0078,0.000734375,0.000734375,0.000734375
52,313.44,0.76007,0.4897,0.00752,0.93881,0.97298,0.99355,0.82588,0.7196,0.39906,0.00814,0.000724062,0.000724062,0.000724062
